YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUPS
2013,Raichur,1648,3296.26,158,Sandy loam ,Drip,29170,58,Cardamum,238542,Kharif,Y2,High
2014,Raichur,1649,3296.26,159,Sandy loam ,Drip,1901,58,Cardamum,1516,Kharif,Y2,High
2015,Raichur,1680,3875.08,160,Sandy loam ,Drip,972,59,Cardamum,57259,Kharif,Y2,High
2013,Raichur,1189,3020.82,168,Sandy loam ,Drip,4912,60,Cardamum,761,Kharif,Y2,High
2014,Gulbarga,460,3696,169,Sandy loam ,Drip,3830,57,Cotton,45608,Kharif,Y2,High
2015,Gulbarga,329,3696,170,Sandy loam ,Drip,4,57,Cotton,234581,Kharif,Y2,High
2010,Gulbarga,14,3625.6,180,Sandy loam ,Basin,2404,52.5,Pepper,2134,Kharif,Y2,High
2011,Gulbarga,30,3905,181,Sandy loam ,Basin,2805,56,Pepper,45186,Kharif,Y2,High
2012,Gulbarga,29,3905,182,Sandy loam ,Basin,2331,57,Pepper,238542,Kharif,Y2,High
2013,Gulbarga,4839,3905,183,Sandy loam ,Basin,2088,57.5,Pepper,1516,Kharif,Y2,High
2014,Gulbarga,5371,4019.4,184,Arid and Desert,Basin,2628,57,Arecanut,200000,Kharif,Y2,High
2015,Gulbarga,5432,4019.4,185,Arid and Desert,Basin,1939,55,Arecanut,4847,Kharif,Y2,High
2014,Gulbarga,3788,3415.5,193,Arid and Desert,Basin,874,53,Arecanut,238542,Kharif,Y2,High
2015,Gulbarga,3891,3415.5,194,Arid and Desert,Basin,592,52,Arecanut,1516,Kharif,Y2,High
2010,Gulbarga,5,3875.08,204,Arid and Desert,Basin,12,55.5,Ginger,45608,Kharif,Y2,High
2011,Gulbarga,8,3875.08,205,Arid and Desert,Basin,2089,58.5,Ginger,234581,Kharif,Y2,High
2012,Madikeri,45,3875.08,206,Arid and Desert,Basin,2810,59.5,Ginger,646,Kharif,Y2,High
2013,Madikeri,55,4102.78,207,Arid and Desert,Basin,841,55,Ginger,43562,Kharif,Y2,High
2014,Madikeri,45,4102.78,208,Arid and Desert,Basin,3550,53,Ginger,200000,Kharif,Y2,High
2015,Madikeri,53,4102.78,209,Arid and Desert,Basin,109,53.5,Ginger,4847,Kharif,Y2,High
2013,Hassan,67,3965.94,42,Sandy loam ,Drip,117826,56.6,Coconut,234581,Rabi,Y2,High
2014,Hassan,60,3863.64,42,Sandy loam ,Drip,336,55.5,Coconut,646,Rabi,Y2,High
2015,Hassan,14,3863.64,43,Sandy loam ,Drip,22594,58.5,Coconut,43562,Rabi,Y2,High
2010,Hassan,5010,4019.4,27.2,Sandy loam ,Drip,110579,55,Coconut,238542,Rabi,Y2,High
2011,Hassan,9591,3415.5,37,Sandy loam ,Basin,44313,54,Coconut,4847,Rabi,Y2,High
2015,Hassan,41626,3193.41,38,Sandy loam ,Basin,57642,58.5,Coconut,44235,Rabi,Y2,High
2010,Hassan,1036,4102.78,41,Sandy loam ,Basin,123,55,Coconut,249978,Rabi,Y2,High
2011,Hassan,10760,4102.78,42,River basins,Basin,19,56,Coconut,200000,Rabi,Y2,High
2012,Hassan,42216,3020.82,42,River basins,Basin,32,54,Coconut,4847,Rabi,Y2,High
2013,Hassan,588,3020.82,42,River basins,Basin,8,58,Coconut,51239,Rabi,Y2,High
2014,Hassan,10437,3020.82,43,River basins,Basin,50,58,Coconut,216396,Rabi,Y2,High
2015,Hassan,41455,3696,27,River basins,Basin,10,59,Coconut,2644,Rabi,Y2,High
2010,Hassan,118,3625.6,27,River basins,Basin,59777,57,Coconut,64409,Rabi,Y2,High
2011,Hassan,8837,3625.6,27,River basins,Basin,60528,54,Coconut,249978,Rabi,Y2,High
2012,Hassan,41598,3905,27,River basins,Basin,61126,54.5,Coconut,637,Rabi,Y2,High
2013,Hassan,130,3905,27,River basins,Basin,623687,56.6,Coconut,43311,Rabi,Y2,High
2014,Hassan,8839,3905,27,River basins,Basin,63504,55.5,Coconut,24848,Rabi,Y2,High
2015,Hassan,41596,4019.4,27.2,River basins,Basin,63931,58.5,Coconut,761,Rabi,Y2,High
2010,Hassan,167,3415.5,37,River basins,Spray,1533,55,Coconut,44235,Rabi,Y2,High
2011,Hassan,8847,3415.5,37,Alluvial,Spray,1647,56,Coconut,203317,Rabi,Y2,High
2014,Hassan,8686,3193.41,38,Alluvial,Spray,836,58,Coconut,238542,Rabi,Y2,High
2015,Hassan,41884,3193.41,39,Alluvial,Spray,806,59,Coconut,1516,Rabi,Y2,High
2010,Mangalore,125,3193.41,42,Alluvial,Spray,4247,57,Coconut,45608,Rabi,Y2,High
2011,Mangalore,8357,3296.26,42,Alluvial,Spray,3290,54,Coconut,234581,Rabi,Y2,High
2012,Mangalore,38948,3296.26,43,Alluvial,Spray,3138,54.5,Coconut,646,Rabi,Y2,High
2013,Mangalore,116,3296.26,43,Alluvial,Spray,3423,56.6,Coconut,43562,Rabi,Y2,High
2014,Mangalore,7520,3875.08,128,Alluvial,Spray,3899,55.5,Coconut,200000,Rabi,Y2,High
2015,Mangalore,38232,3875.08,129,Alluvial,Spray,4015,58.5,Coconut,4847,Rabi,Y2,High
2010,Mangalore,89,3696,139,Alluvial,Spray,167,55,Coconut,200000,Rabi,Y2,High
2011,Mangalore,5528,3965.94,140,Loam,Spray,71,56,Coconut,4847,Rabi,Y2,High
2012,Mangalore,34841,3965.94,141,Loam,Spray,52,54,Coconut,51239,Rabi,Y2,High
2013,Mangalore,77,3965.94,142,Loam,Spray,12,58,Coconut,216396,Rabi,Y2,High
2014,Mangalore,5217,3863.64,143,Loam,Spray,51,58,Coconut,2644,Rabi,Y2,High
2015,Mangalore,3250,3863.64,144,Loam,Spray,61,59,Coconut,44235,Rabi,Y2,High
2018,Hassan,14439,4102.78,39,Black cotton,Spray,4167,60,Groundnut,249978,Kharif,Y3,High
2016,Hassan,90,3625.6,27,Black cotton,Drip,1533,56,Blackgram,2644,Kharif,Y3,High
2017,Hassan,61,3625.6,27,Black cotton,Drip,1647,59.5,Blackgram,44235,Kharif,Y3,High
2018,Hassan,43,3625.6,27,Black cotton,Drip,975,55,Blackgram,203317,Kharif,Y3,High
2016,Hassan,1511,3415.5,27.2,Sandy,Drip,4247,59,Cashew,761,Kharif,Y3,High
2017,Hassan,1491,3415.5,27.2,Sandy,Drip,3290,50,Cashew,45608,Kharif,Y3,High
2018,Hassan,1457,3415.5,27.2,Sandy,Drip,3138,54,Cashew,234581,Kharif,Y3,High
2016,Hassan,14,3193.41,39,Sandy,Drip,167,54,Coconut,1516,Kharif,Y3,High
2017,Hassan,30,3193.41,39,Laterite,Drip,71,58,Coconut,200000,Kharif,Y3,High
2018,Hassan,29,3296.26,39,Laterite,Drip,52,58,Coconut,4847,Kharif,Y3,High
2019,Hassan,4839,3296.26,40,Laterite,Drip,2570,59,Coconut,51239,Kharif,Y3,High
2016,Hassan,2858,3696,27,Laterite,Basin,34153,55,Ginger,249978,Kharif,Y3,High
2017,Hassan,2956,3965.94,27,Laterite,Basin,132551,56,Ginger,637,Kharif,Y3,High
2018,Hassan,1113,3965.94,27,Laterite,Basin,338,54,Ginger,43311,Kharif,Y3,High
2016,Mangalore,10437,3296.26,27.2,Laterite,Drip,23456,56,Coconut,2644,Kharif,Y3,High
2017,Mangalore,41455,3296.26,27,Laterite,Drip,107809,54,Coconut,44235,Kharif,Y3,High
2018,Mangalore,379,3875.08,27,Laterite,Drip,1132,58,Coconut,203317,Kharif,Y3,High
2019,Mangalore,9591,3875.08,27,Laterite,Drip,23960,58,Coconut,2134,Kharif,Y3,High
2016,Mangalore,41596,3965.94,27.1,Laterite,Drip,124387,54.5,Coconut,45608,Kharif,Y3,High
2017,Kodagu,1036,3863.64,26.8,Laterite,Drip,343,56.6,Coconut,234581,Kharif,Y3,High
2018,Kodagu,10760,3863.64,26.8,Laterite,Drip,23099,55.5,Coconut,646,Kharif,Y3,High
2016,Kodagu,9591,4019.4,38,Laterite,Drip,21400,52.5,Coconut,2644,Kharif,Y3,High
2017,Kodagu,41290,4019.4,38,Laterite,Drip,122102,56,Coconut,44235,Kharif,Y3,High
2018,Kodagu,167,4019.4,39,Laterite,Drip,382,57,Coconut,203317,Kharif,Y3,High
2016,Kodagu,10760,3193.41,27,Laterite,Drip,17690,51,Coconut,761,Kharif,Y3,High
2017,Kodagu,42216,3193.41,27,Laterite,Basin,7157,57,Coconut,45608,Kharif,Y3,High
2018,Kodagu,588,3296.26,27,Laterite,Basin,8700,57,Coconut,234581,Kharif,Y3,High
2016,Mysuru,8847,4019.4,27,Alluvial,Basin,45820,55.5,Coconut,2644,Kharif,Y3,High
2017,Mysuru,41626,4019.4,27,Alluvial,Basin,49084,58.5,Coconut,44235,Kharif,Y3,High
2018,Mysuru,143,4019.4,27,Alluvial,Basin,86311,59.5,Coconut,203317,Kharif,Y3,High
2016,Mysuru,8357,3193.41,37,Loam,Basin,32,58,Coconut,216396,Kharif,Y3,High
2017,Mysuru,38948,3193.41,37,Loam,Basin,8,59,Coconut,2644,Kharif,Y3,High
2018,Mysuru,116,3296.26,37,Loam,Basin,50,50,Coconut,44235,Kharif,Y3,High
2019,Mysuru,7520,3296.26,38,Loam,Basin,10,54,Coconut,203317,Kharif,Y3,High
2016,Mysuru,84,3296.26,39,Teelah,Basin,56,57,Coconut,57259,Kharif,Y3,High
2017,Mysuru,6674,3296.26,40,Teelah,Basin,26,60,Coconut,234779,Kharif,Y3,High
2018,Mysuru,36096,3296.26,40,Teelah,Basin,98,57,Coconut,1493,Kharif,Y3,High
2016,Mysuru,4065,3965.94,27,Clay,Spray,171739,57,Coconut,51239,Kharif,Y3,High
2017,Mysuru,4153,3965.94,27,Clay,Spray,172475,57.5,Coconut,216396,Kharif,Y3,High
2018,Mysuru,4191,3965.94,27,Clay,Spray,177939,57,Coconut,2644,Kharif,Y3,High
2016,Mysuru,5693,3625.6,27,Clay,Spray,1647,58,Coconut,45186,Kharif,Y3,High
2017,Mysuru,5997,3625.6,27,Clay,Spray,975,58,Coconut,238542,Kharif,Y3,High
2018,Mysuru,6076,3625.6,27,Clay,Spray,2,59,Coconut,1516,Kharif,Y3,High
2016,Kasaragodu,14,3415.5,37,Clay,Spray,3290,56.6,Coconut,43562,Kharif,Y3,High
2017,Kasaragodu,3,3415.5,37,Clay,Spray,3138,55.5,Coconut,200000,Kharif,Y3,High
2018,Kasaragodu,7,3415.5,37,Clay,Spray,3423,58.5,Coconut,4847,Kharif,Y3,High
2017,Kasaragodu,4,3193.41,38,Clay loam,Spray,4279,53,Coconut,2644,Kharif,Y3,High
2018,Kasaragodu,13,3193.41,39,Clay loam,Spray,4167,53.5,Coconut,44235,Kharif,Y3,High
2016,Kasaragodu,11126,3296.26,42,Clay loam,Spray,2821,57.5,Coconut,238542,Kharif,Y3,High
2017,Kasaragodu,11343,3875.08,42,Clay loam,Spray,3472,57,Coconut,1516,Kharif,Y3,High
2018,Kasaragodu,11485,3875.08,42,Clay loam,Spray,3647,55,Coconut,200000,Kharif,Y3,High
2016,Kasaragodu,2549,3965.94,138,Arid and Desert,Drip,4,60,Cocoa,1493,Kharif,Y3,High
2017,Raichur,2088,3863.64,139,Arid and Desert,Drip,9,57,Coffee,64409,Kharif,Y3,High
2016,Raichur,1289,3863.64,140,Arid and Desert,Drip,12,57,Coffee,249978,Kharif,Y3,High
2017,Raichur,1051,3863.64,141,Arid and Desert,Drip,2089,54,Coffee,637,Kharif,Y3,High
2018,Raichur,4,3625.6,142,Arid and Desert,Drip,2810,54.5,Coffee,43311,Kharif,Y3,High
2016,Raichur,501,3905,146,Arid and Desert,Drip,3368,59.5,Coffee,234581,Kharif,Y3,High
2017,Raichur,317,3905,147,Arid and Desert,Drip,3671,55,Coffee,646,Kharif,Y3,High
2018,Raichur,171,4019.4,148,Loam,Drip,2404,53,Coffee,43562,Kharif,Y3,High
2016,Raichur,1723,3875.08,161,Sandy loam ,Drip,874,50,Cardamum,234779,Kharif,Y3,High
2017,Raichur,1693,3875.08,162,Sandy loam ,Drip,592,54,Cardamum,1493,Kharif,Y3,High
2016,Raichur,1668,4102.78,163,Sandy loam ,Drip,864,53,Cardamum,64409,Kharif,Y3,High
2017,Raichur,1661,4102.78,164,Sandy loam ,Drip,5373,52,Cardamum,249978,Kharif,Y3,High
2016,Raichur,1511,4102.78,165,Sandy loam ,Drip,6589,51,Cardamum,637,Kharif,Y3,High
2017,Raichur,1491,3020.82,166,Sandy loam ,Drip,5107,57,Cardamum,43311,Kharif,Y3,High
2018,Raichur,1457,3020.82,167,Sandy loam ,Drip,5518,57,Cardamum,24848,Kharif,Y3,High
2016,Gulbarga,143,3696,171,Sandy loam ,Drip,9,54,Cotton,646,Kharif,Y3,High
2017,Gulbarga,41,3965.94,172,Sandy loam ,Drip,12,54.5,Cotton,43562,Kharif,Y3,High
2018,Gulbarga,140,3965.94,173,Sandy loam ,Drip,2089,56.6,Pepper,200000,Kharif,Y3,High
2016,Gulbarga,4759,4019.4,186,Arid and Desert,Basin,1871,56,Arecanut,51239,Kharif,Y3,High
2016,Gulbarga,3029,3415.5,195,Arid and Desert,Basin,864,51,Arecanut,57259,Kharif,Y3,High
2016,Madikeri,45,3020.82,210,Arid and Desert,Basin,3368,52.5,Ginger,51239,Kharif,Y3,High
2017,Madikeri,34,3020.82,211,Arid and Desert,Basin,3671,56,Ginger,216396,Kharif,Y3,High
2016,Hassan,30,3863.64,43,Sandy loam ,Drip,116481,59.5,Coconut,200000,Rabi,Y3,High
2017,Hassan,29,3625.6,27,Sandy loam ,Drip,316,55,Coconut,4847,Rabi,Y3,High
2018,Hassan,4839,3625.6,27,Sandy loam ,Drip,21400,53,Coconut,51239,Rabi,Y3,High
2017,Hassan,2956,3415.5,27.2,Sandy loam ,Drip,283,54,Coconut,637,Rabi,Y3,High
2018,Hassan,1113,3415.5,27.2,Sandy loam ,Drip,17690,53,Coconut,43311,Rabi,Y3,High
2016,Hassan,143,3193.41,38,Sandy loam ,Basin,58405,59.5,Coconut,203317,Rabi,Y3,High
2017,Hassan,8686,3193.41,39,Sandy loam ,Basin,60751,55,Coconut,2134,Rabi,Y3,High
2018,Hassan,41884,3296.26,39,Sandy loam ,Basin,109506,53,Coconut,45186,Rabi,Y3,High
2016,Hassan,379,3696,27,River basins,Basin,29,50,Coconut,44235,Rabi,Y3,High
2017,Hassan,9591,3696,27,River basins,Basin,44,54,Coconut,203317,Rabi,Y3,High
2018,Hassan,41290,3965.94,27,River basins,Basin,33,53,Coconut,2134,Rabi,Y3,High
2016,Hassan,1036,4019.4,27.2,River basins,Basin,73730,59.5,Coconut,45608,Rabi,Y3,High
2017,Hassan,10760,4019.4,27.2,River basins,Basin,118416,55,Coconut,234581,Rabi,Y3,High
2016,Mangalore,118,3193.41,39,Alluvial,Spray,880,50,Coconut,57259,Rabi,Y3,High
2017,Mangalore,8837,3296.26,39,Alluvial,Spray,770,54,Coconut,234779,Rabi,Y3,High
2018,Mangalore,41598,3296.26,40,Alluvial,Spray,395,53,Coconut,1493,Rabi,Y3,High
2016,Mangalore,128,3875.08,130,Alluvial,Spray,4279,59.5,Coconut,51239,Rabi,Y3,High
2017,Mangalore,7276,4102.78,131,Alluvial,Spray,4167,55,Coconut,216396,Rabi,Y3,High
2018,Mangalore,38062,4102.78,132,Alluvial,Spray,4479,53,Coconut,2644,Rabi,Y3,High
2016,Mangalore,3950,3863.64,27,Loam,Spray,67,50,Coconut,203317,Rabi,Y3,High
2017,Mangalore,3993,3625.6,27,Loam,Spray,62,54,Coconut,2134,Rabi,Y3,High
2018,Mangalore,4013,3625.6,27,Loam,Drip,32,53,Cocoa,45186,Rabi,Y3,High
2010,Mangalore,5693,4019.4,27,Loam,Drip,2810,57,Coffee,249978,Rabi,Y2,High
2010,Mangalore,14,3296.26,37,Sandy loam ,Drip,75340,55,Cardamum,203317,Rabi,Y2,High
2011,Mangalore,3,3296.26,37,Sandy loam ,Drip,29170,56,Cardamum,2134,Rabi,Y2,High
2012,Mangalore,7,3296.26,37,Sandy loam ,Drip,1901,54,Cardamum,45186,Rabi,Y2,High
2013,Mangalore,17,3875.08,38,Sandy loam ,Drip,972,58,Cardamum,238542,Rabi,Y2,High
2014,Mangalore,9,3875.08,38,Sandy loam ,Drip,874,58,Cardamum,1516,Rabi,Y2,High
2015,Mangalore,4,3875.08,38,Clay loam,Drip,592,59,Cardamum,57259,Rabi,Y2,High
2010,Mangalore,12049,4102.78,42,Laterite,Drip,12,57,Pepper,234581,Rabi,Y2,High
2011,Mangalore,12130,4102.78,42,Laterite,Drip,2089,54,Pepper,646,Rabi,Y2,High
2012,Mangalore,12157,4102.78,42,Laterite,Drip,2810,54.5,Pepper,43562,Rabi,Y2,High
2013,Mangalore,12243,3020.82,43,Laterite,Drip,841,56.6,Pepper,200000,Rabi,Y2,High
2014,Mangalore,13142,3020.82,43,Laterite,Drip,3550,55.5,Pepper,4847,Rabi,Y2,High
2015,Mangalore,13847,3020.82,27,Laterite,Drip,109,58.5,Pepper,51239,Rabi,Y2,High
2010,Kodagu,909,3625.6,27,Laterite,Basin,1868,55,Arecanut,4847,Rabi,Y2,High
2011,Kodagu,743,3625.6,27,Laterite,Basin,127919,56,Arecanut,51239,Rabi,Y2,High
2012,Kodagu,663,3625.6,27,Laterite,Basin,75340,54,Arecanut,216396,Rabi,Y2,High
2013,Kodagu,501,3905,27,Laterite,Basin,29170,58,Arecanut,2644,Rabi,Y2,High
2014,Kodagu,317,3905,27,Laterite,Basin,1901,58,Arecanut,44235,Rabi,Y2,High
2015,Kodagu,171,3905,27.2,Laterite,Basin,972,59,Arecanut,203317,Rabi,Y2,High
2010,Kodagu,1649,3415.5,37,Laterite,Basin,9,54,Ginger,43311,Rabi,Y2,High
2011,Kodagu,1680,3415.5,38,Laterite,Basin,12,54.5,Ginger,24848,Rabi,Y2,High
2014,Mysuru,1668,3193.41,39,Laterite,Basin,841,58.5,Ginger,234581,Rabi,Y2,High
2015,Mysuru,1661,3193.41,39,Laterite,Basin,3550,59.5,Ginger,646,Rabi,Y2,High
2012,Mysuru,1189,3296.26,40,Laterite,Basin,2404,52.5,Ginger,51239,Rabi,Y2,High
2013,Mysuru,460,3875.08,41,Laterite,Basin,2805,56,Ginger,216396,Rabi,Y2,High
2014,Mysuru,329,3875.08,41,Laterite,Basin,2331,57,Ginger,2644,Rabi,Y2,High
2015,Mysuru,143,3875.08,41,Laterite,Basin,2088,57.5,Ginger,44235,Rabi,Y2,High
2010,Kasaragodu,29,4102.78,27.2,Sandy loam ,Spray,592,52,Tea,637,Rabi,Y2,High
2011,Kasaragodu,4839,4102.78,27.2,Sandy loam ,Spray,864,51,Tea,43311,Rabi,Y2,High
2012,Kasaragodu,5371,3020.82,27.2,Sandy loam ,Spray,5373,57,Tea,24848,Rabi,Y2,High
2013,Kasaragodu,5432,3020.82,27,Sandy loam ,Spray,6589,57,Tea,761,Rabi,Y2,High
2014,Kasaragodu,4759,3020.82,27,Sandy loam ,Spray,5107,60,Tea,45608,Rabi,Y2,High
2015,Kasaragodu,264,3696,27,Sandy loam ,Spray,5518,57,Paddy,234581,Rabi,Y2,High
2011,Kasaragodu,5268,3965.94,27.2,Sandy loam ,Spray,2783,56.6,Paddy,4847,Rabi,Y2,High
2012,Kasaragodu,4228,3193.41,27.2,Sandy loam ,Spray,1533,55.5,Paddy,51239,Rabi,Y2,High
2013,Kasaragodu,3788,3193.41,27.2,Sandy loam ,Spray,1647,58.5,Paddy,216396,Rabi,Y2,High
2014,Kasaragodu,3891,3193.41,27.1,Sandy loam ,Spray,975,59.5,Paddy,2644,Rabi,Y2,High
2015,Kasaragodu,3029,3296.26,27.1,Sandy loam ,Spray,2,55,Paddy,44235,Rabi,Y2,High
2010,Kasaragodu,8,3296.26,38,Sandy loam ,Spray,71,54,Groundnut,2644,Rabi,Y2,High
2011,Kasaragodu,45,3296.26,39,Sandy loam ,Spray,3961,58,Groundnut,44235,Rabi,Y2,High
2012,Kasaragodu,55,3296.26,39,Sandy loam ,Spray,4247,58,Groundnut,203317,Rabi,Y2,High
2013,Kasaragodu,45,3875.08,39,Sandy loam ,Spray,3290,59,Groundnut,2134,Rabi,Y2,High
2014,Kasaragodu,53,3875.08,40,Sandy loam ,Spray,3138,50,Groundnut,45186,Rabi,Y2,High
2015,Kasaragodu,45,3875.08,40,Sandy loam ,Spray,3423,54,Groundnut,238542,Rabi,Y2,High
2012,Raichur,167,3020.82,42,Sandy loam ,Spray,3699,60,Groundnut,249978,Rabi,Y2,High
2013,Raichur,8847,3696,42,Sandy loam ,Spray,4904,57,Blackgram,637,Rabi,Y2,High
2014,Raichur,41626,3696,43,Sandy loam ,Spray,2821,57,Blackgram,43311,Rabi,Y2,High
2015,Raichur,143,3696,43,Sandy loam ,Spray,3472,54,Blackgram,24848,Rabi,Y2,High
2010,Raichur,8510,3905,137,Black,Drip,975,56,Blackgram,2644,Rabi,Y2,High
2011,Raichur,41342,3905,138,Black,Drip,2,59.5,Blackgram,44235,Rabi,Y2,High
2012,Raichur,125,3905,139,Black,Drip,836,55,Blackgram,203317,Rabi,Y2,High
2013,Raichur,8357,4019.4,140,Black,Drip,806,53,Cashew,2134,Rabi,Y2,High
2014,Raichur,38948,4019.4,141,Black,Drip,880,53.5,Cashew,45186,Rabi,Y2,High
2015,Raichur,116,4019.4,142,Black,Drip,770,52.5,Cashew,238542,Rabi,Y2,High
2014,Gulbarga,6674,3415.5,27,Black,Drip,3961,54,Cashew,637,Rabi,Y2,High
2015,Gulbarga,36096,3415.5,27,Black,Drip,4247,58,Cashew,43311,Rabi,Y2,High
2010,Gulbarga,3950,3875.08,27.2,Red,Drip,4904,52.5,Coconut,216396,Rabi,Y2,High
2011,Gulbarga,3993,3875.08,27.2,Red,Drip,2821,56,Coconut,2644,Rabi,Y2,High
2012,Gulbarga,4013,3875.08,27.2,Red,Drip,3472,57,Coconut,44235,Rabi,Y2,High
2013,Gulbarga,4065,4102.78,27.1,Red,Drip,3647,57.5,Coconut,203317,Rabi,Y2,High
2014,Gulbarga,4153,4102.78,27.1,Red,Drip,393,57,Coconut,2134,Rabi,Y2,High
2015,Gulbarga,4191,4102.78,27.1,Red,Drip,167,55,Coconut,45186,Rabi,Y2,High
2013,Gulbarga,5693,3696,37,Red,Drip,27170,58,Coconut,4847,Rabi,Y2,High
2014,Gulbarga,5997,3696,37,Red,Drip,114744,59,Coconut,51239,Rabi,Y2,High
2015,Gulbarga,6076,3696,37,Red,Drip,1402,50,Ginger,216396,Rabi,Y2,High
2010,Gulbarga,5,3905,41,Red,Basin,34153,57.5,Ginger,1493,Rabi,Y2,High
2011,Gulbarga,10,3905,41,Alluvial,Basin,2570,57,Ginger,64409,Rabi,Y2,High
2012,Gulbarga,3,3905,41,Alluvial,Basin,27170,55,Ginger,249978,Rabi,Y2,High
2013,Gulbarga,14,4019.4,42,Alluvial,Basin,114744,56,Ginger,637,Rabi,Y2,High
2014,Gulbarga,3,4019.4,42,Alluvial,Basin,1402,54,Ginger,43311,Rabi,Y2,High
2015,Gulbarga,7,4019.4,42,Alluvial,Drip,23456,57,Coconut,200000,Rabi,Y2,High
2013,Madikeri,11126,3415.5,27,Alluvial,Drip,792,59,Coconut,45186,Rabi,Y2,High
2014,Madikeri,11343,3415.5,27.2,Alluvial,Drip,34153,50,Coconut,238542,Rabi,Y2,High
2010,Madikeri,14245,4102.78,27.2,Alluvial,Drip,336,54.5,Coconut,45608,Rabi,Y2,High
2011,Madikeri,14395,4102.78,27.1,Arid and Desert,Drip,22594,56.6,Coconut,234581,Rabi,Y2,High
2012,Madikeri,14439,4102.78,27.1,Arid and Desert,Drip,116481,55.5,Coconut,646,Rabi,Y2,High
2013,Madikeri,2549,3020.82,27.1,Arid and Desert,Drip,316,58.5,Coconut,43562,Rabi,Y2,High
2014,Madikeri,2088,3020.82,26.8,Arid and Desert,Drip,21400,59.5,Coconut,200000,Rabi,Y2,High
2015,Madikeri,1289,3020.82,26.8,Arid and Desert,Drip,122102,55,Coconut,4847,Rabi,Y2,High
2013,Madikeri,501,3965.94,38,Arid and Desert,Drip,110579,57.5,Coconut,2134,Rabi,Y2,High
2014,Madikeri,317,3863.64,38,Arid and Desert,Drip,221,57,Coconut,45186,Rabi,Y2,High
2015,Madikeri,171,3863.64,39,Arid and Desert,Drip,15362,55,Coconut,238542,Rabi,Y2,High
2010,Chikmangaluru,1648,4019.4,42,Arid and Desert,Drip,8838,51,Coconut,761,Rabi,Y2,High
2013,Chikmangaluru,143,4019.4,27,Black,Basin,3,53,Coconut,45186,Rabi,Y2,High
2010,Chikmangaluru,4839,3296.26,26.8,Black,Basin,44,59,Coconut,2644,Rabi,Y2,High
2011,Chikmangaluru,5371,3875.08,26.8,Black,Basin,33,50,Coconut,44235,Rabi,Y2,High
2012,Chikmangaluru,5432,3875.08,37,Black,Basin,14,54,Coconut,203317,Rabi,Y2,High
2013,Chikmangaluru,4759,3875.08,37,Red,Basin,56,53,Coconut,2134,Rabi,Y2,High
2014,Chikmangaluru,264,4102.78,37,Red,Basin,26,52,Coconut,45186,Rabi,Y2,High
2015,Chikmangaluru,5241,4102.78,38,Red,Basin,98,51,Coconut,238542,Rabi,Y2,High
2013,Chikmangaluru,3029,3696,40,Red,Basin,63504,54.5,Coconut,637,Rabi,Y2,High
2014,Chikmangaluru,2858,3965.94,40,Red,Basin,63931,56.6,Coconut,43311,Rabi,Y2,High
2015,Chikmangaluru,2956,3965.94,41,Red,Basin,73730,55.5,Coconut,24848,Rabi,Y2,High
2010,Hassan,41290,3905,130,Red,Spray,1647,57,Coconut,2644,Rabi,Y2,High
2011,Hassan,167,4019.4,131,Red,Spray,975,55,Coconut,44235,Rabi,Y2,High
2012,Hassan,8847,4019.4,132,Red,Spray,2,56,Coconut,203317,Rabi,Y2,High
2013,Hassan,41626,4019.4,133,Red,Spray,836,54,Coconut,2134,Rabi,Y2,High
2013,Gulbarga,317,3875.08,40,Loam,Spray,2783,54,Paddy,43562,Rabi,Y2,High
2014,Gulbarga,171,3875.08,41,Loam,Spray,1533,54.5,Paddy,200000,Rabi,Y2,High
2015,Gulbarga,124,4102.78,41,Loam,Spray,1647,56.6,Paddy,4847,Rabi,Y2,High
2010,Gulbarga,1649,3965.94,131,Loam,Spray,121,57.5,Paddy,200000,Rabi,Y2,High
2011,Gulbarga,1680,3193.41,132,Loam,Spray,103,57,Groundnut,4847,Rabi,Y2,High
2012,Gulbarga,1723,3193.41,133,Loam,Spray,71,55,Groundnut,51239,Rabi,Y2,High
2013,Gulbarga,1693,3193.41,134,Loam,Spray,3961,56,Groundnut,216396,Rabi,Y2,High
2014,Gulbarga,1668,3296.26,135,Loam,Spray,4247,54,Groundnut,2644,Rabi,Y2,High
2015,Gulbarga,1661,3296.26,136,Laterite,Spray,3290,58,Groundnut,44235,Rabi,Y2,High
2010,Gulbarga,163,3296.26,146,Laterite,Spray,2821,60,Groundnut,249978,Rabi,Y2,High
2011,Gulbarga,167,3296.26,147,Laterite,Spray,3472,57,Blackgram,637,Rabi,Y2,High
2012,Gulbarga,197,3875.08,148,Laterite,Spray,3647,57,Blackgram,43311,Rabi,Y2,High
2013,Gulbarga,100,3875.08,149,Laterite,Spray,393,54,Blackgram,24848,Rabi,Y2,High
2014,Gulbarga,67,3875.08,150,Laterite,Spray,167,54.5,Blackgram,761,Rabi,Y2,High
2015,Gulbarga,60,4102.78,151,Laterite,Spray,71,56.6,Blackgram,45608,Rabi,Y2,High
2010,Gulbarga,5434,3965.94,161,Laterite,Drip,880,55,Blackgram,203317,Rabi,Y2,High
